term	dsDNA Adenoviridae	dsDNA Herpesviridae	dsDNA Polyomaviridae	dsDNA Poxviridae	dsRNA Reoviridae	n_ssRNA Filoviridae	n_ssRNA Orthomyxoviridae	n_ssRNA Paramyxoviridae	n_ssRNA Pneumoviridae	n_ssRNA Rhabdoviridae	p_ssRNA Astroviridae	p_ssRNA Caliciviridae	p_ssRNA Coronaviridae	p_ssRNA Flaviviridae	p_ssRNA Hepeviridae	p_ssRNA Picornaviridae	p_ssRNA Togaviridae	ssDNA Circoviridae	ssDNA Parvoviridae	ssDNA Smacoviridae
RE_Gamma-carboxylation of protein precursors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	6.0	4.5	2.8	0.0	6.7	0.0	0.0	0.0	0.0
RE_Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	6.0	4.5	2.8	0.0	6.7	0.0	0.0	0.0	0.0
RE_Removal of aminoterminal propeptides from gamma-carboxylated proteins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6	5.6	4.2	2.5	0.0	6.4	0.0	0.0	0.0	0.0
RE_Rev-mediated nuclear export of HIV RNA	0.0	0.0	0.0	0.0	0.0	0.0	3.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Initial triggering of complement	7.6	7.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	1.4	0.4	0.4	0.0	2.0	0.0	0.0	0.0	0.0
RE_Regulation of Glucokinase by Glucokinase Regulatory Protein	0.0	0.0	0.0	0.0	0.0	0.0	2.2	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Classical antibody-mediated complement activation	10.1	7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Activation of ATR in response to replication stress	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	2.3	1.7	0.0
RE_Nuclear import of Rev protein	0.0	0.0	0.0	0.0	0.0	0.0	3.2	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Vpr-mediated nuclear import of PICs	0.0	0.0	0.0	0.0	0.0	0.0	2.1	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	21.7	13.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Phosphorylation of CD3 and TCR zeta chains	0.0	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Translocation of ZAP-70 to Immunological synapse	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Generation of second messenger molecules	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Cell surface interactions at the vascular wall	3.7	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_FCGR activation	13.6	9.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Regulation of actin dynamics for phagocytic cup formation	8.4	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Role of phospholipids in phagocytosis	13.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Scavenging of heme from plasma	7.8	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Fc epsilon receptor (FCERI) signaling	11.1	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Role of LAT2/NTAL/LAB on calcium mobilization	8.0	5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_FCERI mediated MAPK activation	5.2	6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_FCERI mediated Ca+2 mobilization	5.4	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_FCERI mediated NF-kB activation	2.1	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Nuclear Pore Complex (NPC) Disassembly	0.0	0.0	0.0	0.0	0.0	0.0	2.1	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Chemokine receptors bind chemokines	0.0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	5.8	4.1	2.7	0.0	6.6	0.0	0.0	0.0	0.0
RE_PD-1 signaling	0.1	4.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_G alpha (i) signalling events	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Nectin/Necl  trans heterodimerization	5.1	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_CD22 mediated BCR regulation	12.4	6.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_tRNA processing in the nucleus	0.0	0.0	0.0	0.0	0.0	0.0	2.7	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Assembly of the ORC complex at the origin of replication	0.0	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	4.3	2.9	0.0
RE_CDC6 association with the ORC:origin complex	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	3.8	2.7	0.0
RE_Assembly of the pre-replicative complex	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	3.5	2.5	0.0
RE_Activation of the pre-replicative complex	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	2.3	1.7	0.0
RE_Association of licensing factors with the pre-replicative complex	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	3.2	2.3	0.0
RE_Removal of licensing factors from origins	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	3.5	2.5	0.0
RE_Ethanol oxidation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_mRNA Splicing - Major Pathway	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.9	0.0	0.0	0.0
RE_Interferon gamma signaling	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	6.3	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
