1a06_A	17	145	Q63450	nonHumanMammal
2hcn_A	18	487	P14335	virus
2hcn_A	79	345	P14335	virus
2hcn_A	99	345	P14335	virus
2hdo_A	83	187	F9UM81	bacteria
2hdo_A	84	203	F9UM81	bacteria
2hek_A	3	94	O67745	bacteria
2hfz_A	1	609	P14335	virus
2hfz_A	23	536	P14335	virus
2hfz_A	236	456	P14335	virus
2hfz_A	29	591	P14335	virus
2hg0_A	1	301	Q91R00	virus
2hhj_A	33	117	P07738	human
2hhl_A	14	112	O15194	human
2hhl_A	23	181	O15194	human
2hhl_A	59	180	O15194	human
2hhl_A	6	181	O15194	human
2hi0_A	108	223	Q1GA24	bacteria
2hiv_A	133	491	Q980T8	bacteria
2hiv_A	134	425	Q980T8	bacteria
2hiv_A	205	423	Q980T8	bacteria
2hiv_A	211	462	Q980T8	bacteria
2hiv_A	214	298	Q980T8	bacteria
2hiv_A	217	271	Q980T8	bacteria
2hiv_A	219	367	Q980T8	bacteria
2hiv_A	220	315	Q980T8	bacteria
2hiv_A	220	496	Q980T8	bacteria
2hiv_A	221	340	Q980T8	bacteria
2hiv_A	221	424	Q980T8	bacteria
2hiv_A	231	299	Q980T8	bacteria
2hiv_A	237	423	Q980T8	bacteria
2hiv_A	243	446	Q980T8	bacteria
2hiv_A	246	374	Q980T8	bacteria
2hiv_A	247	300	Q980T8	bacteria
2hiv_A	276	448	Q980T8	bacteria
2hiv_A	291	364	Q980T8	bacteria
2hiv_A	331	426	Q980T8	bacteria
2hiv_A	432	567	Q980T8	bacteria
2hj3_A	2	102	Q8GXX0	plantfungi
2hj3_A	44	102	Q8GXX0	plantfungi
2hoq_A	97	196	O59346	bacteria
2hsh_A	1	106	P10599	human
2hsj_A	33	212	A0A0H2UQU7	bacteria
2hsj_A	84	199	A0A0H2UQU7	bacteria
2hst_A	1	137	P62495	human
2hsz_A	97	202	Q0I1W8	bacteria
2hsz_A	97	224	Q0I1W8	bacteria
2hup_A	1	160	Q86YS6	human
2hv9_A	1	78	Q8SR66	plantfungi
2hv9_A	5	158	Q8SR66	plantfungi
2hv9_A	6	142	Q8SR66	plantfungi
2hvq_A	1	227	P32277	virus
2hvq_A	1	317	P32277	virus
2hvq_A	36	124	P32277	virus
2hvq_A	36	286	P32277	virus
2hvq_A	36	317	P32277	virus
2hvq_A	5	292	P32277	virus
2hvr_A	1	320	P32277	virus
2hvr_A	2	166	P32277	virus
2hvr_A	3	288	P32277	virus
2hvw_A	1	85	Q8DSE5	bacteria
2hw0_A	1	100	Q8BB16	virus
2hw0_A	1	116	Q8BB16	virus
2hw0_A	18	100	Q8BB16	virus
2hw0_A	18	116	Q8BB16	virus
2hw0_A	36	110	Q8BB16	virus
2hw0_A	5	64	Q8BB16	virus
2hw0_A	79	116	Q8BB16	virus
2hw0_A	8	84	Q8BB16	virus
2hwt_A	1	95	O39828	virus
2hwt_A	2	73	O39828	virus
2hwt_A	22	94	O39828	virus
2hxs_A	3	176	P51157	human
2hyd_A	362	514	Q99T13	bacteria
2hye_C	126	663	Q13619	human
2hye_C	126	681	Q13619	human
2hye_C	294	657	Q13619	human
2hye_C	318	668	Q13619	human
2hye_C	319	620	Q13619	human
2hye_C	397	625	Q13619	human
2hye_C	402	542	Q13619	human
2hye_C	412	592	Q13619	human
2hye_C	499	592	Q13619	human
2hyi_C	137	361	P38919	human
2hyi_C	157	391	P38919	human
2hyi_C	18	360	P38919	human
2hyi_C	191	361	P38919	human
2hyi_C	214	356	P38919	human
2hyi_C	230	360	P38919	human
2hyi_C	260	360	P38919	human
2hyi_C	277	352	P38919	human
2hyi_C	295	355	P38919	human
2i02_A	1	138	B2J0D8	bacteria
2i0e_A	108	200	P05771	human
2i0e_A	108	244	P05771	human
2i0e_A	125	247	P05771	human
2i0e_A	129	321	P05771	human
2i0e_A	164	218	P05771	human
2i0e_A	169	249	P05771	human
2i0e_A	66	241	P05771	human
2i0e_A	76	214	P05771	human
2i0e_A	83	196	P05771	human
2i0e_A	85	242	P05771	human
2i0e_A	98	155	P05771	human
2i0e_A	99	219	P05771	human
2i0o_A	12	278	Q7PP01	invertebrate
2i13_A	15	124	Q07230	nonHumanMammal
2i13_A	15	152	Q07230	nonHumanMammal
2i1j_A	286	373	A0T1L9	invertebrate
2i1j_A	306	373	A0T1L9	invertebrate
2i1j_A	325	373	A0T1L9	invertebrate
2i1j_A	341	373	A0T1L9	invertebrate
2i33_A	47	126	Q81L82	bacteria
2i3h_A	1	82	Q96CA5	human
2i4a_A	21	107	nan	nan
2i4a_A	21	89	nan	nan
2i4a_A	4	105	nan	nan
2i4a_A	4	88	nan	nan
2i4a_A	9	63	nan	nan
2i54_A	2	243	Q95ZD7	invertebrate
2i54_A	3	218	Q95ZD7	invertebrate
2i54_A	35	238	Q95ZD7	invertebrate
2i68_A	19	61	P23895	bacteria
2i6j_A	1	154	Q97VZ7	bacteria
2i6x_A	85	194	Q7MWA6	bacteria
2i9l_I	29	174	P07612	virus
2ibi_A	1	332	O75604	human
2id4_A	386	456	P13134	plantfungi
2id5_A	33	187	Q96FE5	human
2id5_A	33	283	Q96FE5	human
2id5_A	393	470	Q96FE5	human
2id5_A	50	337	Q96FE5	human
2idr_A	1	130	P29557	plantfungi
2idr_A	1	146	P29557	plantfungi
2idr_A	1	177	P29557	plantfungi
2idr_A	29	119	P29557	plantfungi
2idr_A	29	168	P29557	plantfungi
2idr_A	55	130	P29557	plantfungi
2if1_A	15	127	P41567	human
2if6_A	1	102	Q8X778	bacteria
2if6_A	1	137	Q8X778	bacteria
2if6_A	1	183	Q8X778	bacteria
2if6_A	2	120	Q8X778	bacteria
2ifg_A	11	115	P04629	human
2ifg_A	12	98	P04629	human
2ifg_A	29	96	P04629	human
2ig7_A	35	230	Q9Y259	human
2ig7_A	35	274	Q9Y259	human
2ig7_A	90	263	Q9Y259	human
2igi_A	2	120	P0A784	bacteria
2igt_A	136	218	A9CKD6	bacteria
2ihc_A	5	118	O14867	human
2ii0_A	212	449	Q07889	human
2ii0_A	25	449	Q07889	human
2iid_A	29	125	P81382	nonMammalVertebrate
2ij2_A	3	140	P14779	bacteria
2ija_A	21	210	P18440	human
2ija_A	21	248	P18440	human
2ija_A	23	143	P18440	human
2ija_A	68	129	P18440	human
2ijd_1	1	645	Q1PHW8	virus
2ijd_1	10	318	Q1PHW8	virus
2ijd_1	113	622	Q1PHW8	virus
2ijd_1	128	643	Q1PHW8	virus
2ijd_1	129	622	Q1PHW8	virus
2ijd_1	131	575	Q1PHW8	virus
2ijd_1	144	643	Q1PHW8	virus
2ijd_1	198	269	Q1PHW8	virus
2ijd_1	2	249	Q1PHW8	virus
2ijd_1	2	629	Q1PHW8	virus
2ijd_1	240	625	Q1PHW8	virus
2ijd_1	257	618	Q1PHW8	virus
2ijd_1	327	563	Q1PHW8	virus
2ijd_1	330	623	Q1PHW8	virus
2ijd_1	350	527	Q1PHW8	virus
2ijd_1	352	494	Q1PHW8	virus
2ijd_1	4	229	Q1PHW8	virus
2ijd_1	460	566	Q1PHW8	virus
2ijd_1	465	583	Q1PHW8	virus
2ijd_1	5	291	Q1PHW8	virus
2ije_S	19	238	P27671	nonHumanMammal
2ijf_A	1	462	Q8QXN9	virus
2ijr_A	190	281	Q6EVP2	bacteria
2ikb_A	2	164	Q7DDI9	bacteria
2ikb_A	2	97	Q7DDI9	bacteria
2il1_A	2	161	Q6IQ22	human
2ily_A	1	458	Q8QXN9	virus
2imu_A	1	47	P61825	virus
2imz_A	1	103	P9WHJ3	bacteria
2imz_A	1	144	P9WHJ3	bacteria
2ip4_A	128	288	Q5SK40	bacteria
2isn_A	160	324	nan	nan
2it1_A	113	214	O57942	bacteria
2it1_A	125	197	O57942	bacteria
2it1_A	147	181	O57942	bacteria
2it1_A	16	193	O57942	bacteria
2it1_A	26	66	O57942	bacteria
2it1_A	39	208	O57942	bacteria
2it1_A	85	160	O57942	bacteria
2iu1_A	1	124	P55010	human
2iu1_A	1	155	P55010	human
2iu1_A	58	179	P55010	human
2iu1_A	62	155	P55010	human
2iu1_A	90	179	P55010	human
2iue_A	2	167	Q3UV74	nonHumanMammal
2iue_A	2	212	Q3UV74	nonHumanMammal
2iue_A	2	94	Q3UV74	nonHumanMammal
2iuw_A	1	204	Q96Q83	human
2iuw_A	110	205	Q96Q83	human
2iuw_A	17	204	Q96Q83	human
2iuw_A	19	172	Q96Q83	human
2iuw_A	62	205	Q96Q83	human
2iuw_A	86	204	Q96Q83	human
2ivd_A	1	285	P56601	bacteria
2ivd_A	1	98	P56601	bacteria
2ivx_A	3	240	O60583	human
2iw6_A	1	146	P24941	human
2iw6_A	1	232	P24941	human
2iw8_A	2	193	P24941	human
2iw8_A	2	210	P24941	human
2iwr_A	2	170	nan	nan
2iya_A	1	133	Q3HTL7	bacteria
2iya_A	1	393	Q3HTL7	bacteria
2iya_A	196	393	Q3HTL7	bacteria
2iya_A	224	373	Q3HTL7	bacteria
2iya_A	249	348	Q3HTL7	bacteria
2iya_A	269	373	Q3HTL7	bacteria
2iya_A	272	353	Q3HTL7	bacteria
2iya_A	281	393	Q3HTL7	bacteria
2iya_A	311	375	Q3HTL7	bacteria
2iya_A	8	289	Q3HTL7	bacteria
2iyf_A	1	129	Q53685	bacteria
2iyf_A	1	385	Q53685	bacteria
2iyf_A	210	385	Q53685	bacteria
2iyf_A	211	366	Q53685	bacteria
2iyf_A	233	369	Q53685	bacteria
2iyf_A	233	385	Q53685	bacteria
2iyf_A	258	365	Q53685	bacteria
2iyf_A	264	385	Q53685	bacteria
2iyf_A	304	360	Q53685	bacteria
2iyf_A	95	381	Q53685	bacteria
2izo_A	11	198	Q980U8	bacteria
2izo_A	161	215	Q980U8	bacteria
2izo_A	59	198	Q980U8	bacteria
2izo_A	65	251	Q980U8	bacteria
2izo_A	76	194	Q980U8	bacteria
2izo_A	98	215	Q980U8	bacteria
2izw_A	1	179	Q9E962	virus
2j07_A	182	323	P61497	bacteria
2j0t_A	25	157	P03956	human
2j0u_B	10	322	P38919	human
2j0u_B	10	348	P38919	human
2j0u_B	136	348	P38919	human
2j0u_B	169	317	P38919	human
2j0u_B	17	213	P38919	human
2j0u_B	170	283	P38919	human
2j0u_B	209	321	P38919	human
2j0v_A	3	123	O82480	plantfungi
2j0v_A	4	179	O82480	plantfungi
2j0v_A	7	72	O82480	plantfungi
2j0v_A	75	124	O82480	plantfungi
2j1d_G	1	170	Q9Y4D1	human
2j1d_G	1	349	Q9Y4D1	human
2j1d_G	25	159	Q9Y4D1	human
2j1d_G	4	107	Q9Y4D1	human
2j1d_G	4	125	Q9Y4D1	human
2j1d_G	54	192	Q9Y4D1	human
2j1d_G	57	280	Q9Y4D1	human
2j1d_G	71	198	Q9Y4D1	human
2j1d_G	8	366	Q9Y4D1	human
2j1d_G	9	201	Q9Y4D1	human
2j1l_A	1	158	O00212	human
2j5b_A	1	254	Q5UPJ7	virus
2j5b_A	1	323	Q5UPJ7	virus
2j5b_A	104	235	Q5UPJ7	virus
2j5b_A	146	246	Q5UPJ7	virus
2j5b_A	146	303	Q5UPJ7	virus
2j5b_A	146	322	Q5UPJ7	virus
2j5b_A	17	257	Q5UPJ7	virus
2j5b_A	200	322	Q5UPJ7	virus
2j5b_A	25	224	Q5UPJ7	virus
2j5b_A	31	298	Q5UPJ7	virus
2j5b_A	38	240	Q5UPJ7	virus
2j5b_A	47	264	Q5UPJ7	virus
2j5b_A	6	237	Q5UPJ7	virus
2j5b_A	67	264	Q5UPJ7	virus
2j7q_A	2	208	nan	nan
2j7u_A	1	574	Q6YMS4	virus
2j7u_A	139	432	Q6YMS4	virus
2j7u_A	160	432	Q6YMS4	virus
2j7u_A	39	435	Q6YMS4	virus
2j87_A	1	159	O57203	virus
2j87_A	54	157	O57203	virus
2j8k_A	115	137	nan	nan
2j8k_A	124	182	nan	nan
2j8k_A	166	181	nan	nan
2j8k_A	23	37	nan	nan
2j8x_A	52	200	P12888	virus
2j90_A	23	205	O43293	human
2j90_A	23	264	O43293	human
2j90_A	26	244	O43293	human
2j90_A	68	205	O43293	human
2j9r_A	10	84	Q81JX0	bacteria
2ja1_A	12	71	Q0H0H6	bacteria
2jam_A	103	243	Q96NX5	human
2jam_A	8	196	Q96NX5	human
2jam_A	81	207	Q96NX5	human
2jao_A	4	163	Q9JM14	nonHumanMammal
2jao_A	8	146	Q9JM14	nonHumanMammal
2jaq_A	1	154	Q93IG4	bacteria
2jaq_A	1	174	Q93IG4	bacteria
2jaq_A	1	190	Q93IG4	bacteria
2jas_A	1	163	Q93IG4	bacteria
2jc4_A	1	257	Q9K100	bacteria
2jc6_A	1	181	Q8IU85	human
2jc6_A	1	245	Q8IU85	human
2jc6_A	106	245	Q8IU85	human
2jc6_A	109	183	Q8IU85	human
2jc6_A	112	202	Q8IU85	human
2jc6_A	13	150	Q8IU85	human
2jc6_A	21	172	Q8IU85	human
2jc6_A	21	190	Q8IU85	human
2jc6_A	21	229	Q8IU85	human
2jc6_A	21	246	Q8IU85	human
2jc6_A	49	233	Q8IU85	human
2jc6_A	54	181	Q8IU85	human
2jc6_A	62	215	Q8IU85	human
2jc6_A	71	245	Q8IU85	human
2jc6_A	73	190	Q8IU85	human
2jc6_A	90	183	Q8IU85	human
2jc6_A	90	233	Q8IU85	human
2jcs_A	134	199	Q9XZT6	invertebrate
2jf6_A	58	463	Q8GU20	plantfungi
2jf6_A	7	465	Q8GU20	plantfungi
2jgu_A	137	547	P61875	bacteria
2jgu_A	137	645	P61875	bacteria
2jgu_A	180	645	P61875	bacteria
2jgu_A	186	564	P61875	bacteria
2jh8_A	1	189	Q65751	virus
2jh8_A	1	614	Q65751	virus
2jh8_A	192	331	Q65751	virus
2jh8_A	269	611	Q65751	virus
2jh8_A	3	593	Q65751	virus
2jh8_A	366	612	Q65751	virus
2jhp_A	192	249	P07132	virus
2jhq_A	14	218	Q9KPK8	bacteria
2jhq_A	33	218	Q9KPK8	bacteria
2jii_A	101	259	Q8IV63	human
2jjd_A	18	267	P23469	human
2jjd_A	24	223	P23469	human
2jjd_A	37	267	P23469	human
2jjd_A	86	221	P23469	human
2jjm_A	11	361	Q81ST7	bacteria
2jjm_A	260	361	Q81ST7	bacteria
2jjm_A	66	361	Q81ST7	bacteria
2jjq_A	192	383	Q9UZR7	bacteria
2jjq_A	58	185	Q9UZR7	bacteria
2jjq_A	63	393	Q9UZR7	bacteria
2jjq_A	86	184	Q9UZR7	bacteria
2jlq_A	183	433	Q2YHF0	virus
2jlr_A	1	296	Q2YHF0	virus
2jlr_A	1	440	Q2YHF0	virus
2jlr_A	16	80	Q2YHF0	virus
2jls_A	1	444	Q2YHF0	virus
2jls_A	20	84	Q2YHF0	virus
2jls_A	3	300	Q2YHF0	virus
2jmz_A	56	135	Q58191	bacteria
2jmz_A	8	176	Q58191	bacteria
2jny_A	2	55	Q8NQM9	bacteria
2jqm_A	9	111	Q6DV88	virus
2jrp_A	2	76	Q8ZN54	bacteria
2jsd_A	20	160	O60882	human
2jsd_A	3	160	O60882	human
2jsd_A	32	137	O60882	human
2jsd_A	68	159	O60882	human
2jvc_A	6	83	nan	nan
2jvl_A	8	96	D0VWW6	plantfungi
2jyz_A	14	167	Q9VD02	invertebrate
2jyz_A	16	122	Q9VD02	invertebrate
2jyz_A	52	163	Q9VD02	invertebrate
2jyz_A	55	124	Q9VD02	invertebrate
2k1a_A	2	43	nan	nan
2k25_A	1	84	P0CG48	human
2k2g_A	16	135	P39900	human
2k2g_A	27	165	P39900	human
2k2g_A	37	131	P39900	human
2k47_A	1	74	P03520	virus
2k6g_A	26	107	P35251	human
2kgk_A	1	127	Q81R22	bacteria
2kgr_A	34	104	Q15811	human
2kkx_A	22	87	Q8X509	bacteria
2kna_A	14	81	P98170	human
2kp7_A	1	74	Q91ZJ0	nonHumanMammal
2kta_A	4	68	A6KY75	bacteria
2kty_A	31	264	Q99986	human
2l2n_A	2	72	O04492	plantfungi
2l5a_A	142	226	P02309	plantfungi
2l6l_A	5	80	Q6P3W2	human
2l7x_A	1	78	Q70UR3	virus
2l95_A	5	80	A1ZBK7	invertebrate
2lbb_A	24	82	A7AV23	invertebrate
2lcj_A	1	186	Q9V2F4	bacteria
2lcj_A	45	126	Q9V2F4	bacteria
2lcj_A	45	186	Q9V2F4	bacteria
2lcj_A	61	118	Q9V2F4	bacteria
2lcj_A	61	186	Q9V2F4	bacteria
2lgt_A	11	140	P62495	human
2lhn_A	4	75	nan	nan
2lie_A	20	154	B3GA02	plantfungi
2lkc_A	3	174	P04766	bacteria
2lkt_A	19	123	nan	nan
2ll3_A	1	71	Q9XZH7	invertebrate
2lli_A	43	124	Q12476	plantfungi
2lrn_A	19	76	nan	nan
2lsn_A	54	165	P14350	virus
2lts_A	14	86	G5EBF5	invertebrate
2lv3_A	7	102	Q99MD6	nonHumanMammal
2lw4_A	2	112	Q15560	human
2lw4_A	4	73	Q15560	human
2lxn_A	70	166	Q58970	bacteria
2ly8_A	56	122	P36012	plantfungi
2m0s_A	1	29	Q9YKL3	virus
2m3e_A	5	46	nan	nan
2m48_A	3	141	Q7KTX7	invertebrate
2m9p_A	1	241	P14337	virus
2m9p_A	62	241	P14337	virus
2m9p_A	67	215	P14337	virus
2m9p_A	78	239	P14337	virus
2mdr_A	10	93	P55265	human
2mev_2	53	250	P12296	virus
2mev_3	1	232	P12296	virus
2mev_3	30	229	P12296	virus
2mev_3	46	232	P12296	virus
2mev_3	63	231	P12296	virus
2mev_3	83	232	P12296	virus
2mhc_A	2	90	O05415	bacteria
2mhp_A	1	103	P04275	human
2mhp_A	4	81	P04275	human
2mrc_A	11	88	Q8IB14	invertebrate
2mys_A	731	801	P13538	nonMammalVertebrate
2mze_A	111	209	P09237	human
2mze_A	114	243	P09237	human
2mze_A	158	217	P09237	human
2mze_A	187	249	P09237	human
2mze_A	40	250	P09237	human
2mze_A	60	249	P09237	human
2mze_A	83	249	P09237	human
2n04_A	21	86	Q9H3Z4	human
2n1b_A	12	178	P62826	human
2n1i_A	27	171	Q9HAZ2	human
2nam_A	3	154	P00441	human
2nlz_A	193	533	Q9KEI5	bacteria
2nn3_C	2	206	P89116	invertebrate
2nn3_C	3	236	P89116	invertebrate
2no4_A	91	226	Q51645	bacteria
2no4_A	92	202	Q51645	bacteria
2nq9_A	84	271	P0A6C1	bacteria
2nqb_C	1	93	P84051	invertebrate
2nqb_D	1	94	P02283	invertebrate
2nqh_A	2	240	P0A6C1	bacteria
2nr7_A	88	191	Q7MXB3	bacteria
2nr9_A	5	189	nan	nan
2nr9_A	54	184	nan	nan
2nvo_A	1	497	Q9RUW8	bacteria
2nvu_C	16	141	P61081	human
2nvu_C	70	126	P61081	human
2nx2_A	1	179	P50838	bacteria
2nx8_A	1	156	Q5XE14	bacteria
2nx8_A	8	75	Q5XE14	bacteria
2nyv_A	84	187	O67359	bacteria
2nyv_A	84	206	O67359	bacteria
2nz0_B	37	99	Q9UK17	human
2nz6_A	192	286	Q12913	human
2nzj_A	2	153	O75628	human
2nzw_A	176	344	O30511	bacteria
2nzw_A	195	346	O30511	bacteria
2nzw_A	53	345	O30511	bacteria
2o0j_A	101	331	P17312	virus
2o0j_A	102	360	P17312	virus
2o1c_A	6	73	P0AFC0	bacteria
2o1z_A	17	283	A5K1H0	invertebrate
2o2g_A	12	177	Q3M5Q1	bacteria
2o2g_A	5	217	Q3M5Q1	bacteria
2o57_A	1	282	nan	nan
2o57_A	52	150	nan	nan
2o57_A	65	178	nan	nan
2o5v_A	9	105	Q9RVE0	bacteria
2o6l_A	1	127	P16662	human
2o6l_A	1	146	P16662	human
2o6l_A	1	163	P16662	human
2o6l_A	18	146	P16662	human
2o6l_A	18	163	P16662	human
2o6l_A	19	124	P16662	human
2o6l_A	47	163	P16662	human
2o6l_A	66	163	P16662	human
2o6q_A	109	224	Q32R26	nonMammalVertebrate
2o6w_A	15	31	D0VWX3	bacteria
2o6x_A	4	294	Q24940	invertebrate
2o7r_A	35	291	Q0ZPV7	plantfungi
2o8b_B	109	768	P52701	human
2o8b_B	370	457	P52701	human
2o8b_B	41	165	P52701	human
2o8b_B	62	165	P52701	human
2o8l_A	34	185	Q99V45	bacteria
2oa2_A	1	133	Q9K9C9	bacteria
2oa2_A	23	118	Q9K9C9	bacteria
2oa8_A	13	191	Q91XB0	nonHumanMammal
2ob0_A	2	155	Q9GZZ1	human
2obb_A	1	78	Q8A9J5	bacteria
2oc3_A	10	61	Q99952	human
2oc3_A	10	78	Q99952	human
2oc3_A	173	233	Q99952	human
2oc3_A	175	277	Q99952	human
2oc3_A	39	167	Q99952	human
2oc3_A	39	280	Q99952	human
2oc3_A	44	254	Q99952	human
2oc3_A	54	235	Q99952	human
2oc3_A	72	230	Q99952	human
2oc3_A	75	260	Q99952	human
2oc3_A	88	217	Q99952	human
2oc3_A	97	249	Q99952	human
2oca_A	1	495	P20703	virus
2oca_A	100	494	P20703	virus
2oca_A	104	247	P20703	virus
2oca_A	104	448	P20703	virus
2oca_A	110	263	P20703	virus
2oca_A	111	299	P20703	virus
2oca_A	111	344	P20703	virus
2oca_A	113	378	P20703	virus
2oca_A	117	495	P20703	virus
2oca_A	124	461	P20703	virus
2oca_A	127	287	P20703	virus
2oca_A	128	239	P20703	virus
2oca_A	128	263	P20703	virus
2oca_A	129	414	P20703	virus
2oca_A	137	335	P20703	virus
2oca_A	140	449	P20703	virus
2oca_A	156	493	P20703	virus
2oca_A	17	494	P20703	virus
2oca_A	173	494	P20703	virus
2oca_A	2	450	P20703	virus
2oca_A	220	492	P20703	virus
2oca_A	222	433	P20703	virus
2oca_A	226	364	P20703	virus
2oca_A	310	448	P20703	virus
2oca_A	52	494	P20703	virus
2oca_A	59	463	P20703	virus
2ocg_A	94	255	Q86WA6	human
2ocp_A	142	223	Q16854	human
2oda_A	1	182	Q884H9	bacteria
2ogh_A	1	109	P32911	plantfungi
2oi5_A	1	236	P0ACC7	bacteria
2oi5_A	7	172	P0ACC7	bacteria
2oie_A	1	103	Q9QY93	nonHumanMammal
2oil_A	1	171	P57735	human
2okk_A	129	479	Q05329	human
2okk_A	89	482	Q05329	human
2om6_A	100	209	O57991	bacteria
2omt_A	101	322	A4GWM6	bacteria
2omt_A	29	377	A4GWM6	bacteria
2omt_A	53	377	A4GWM6	bacteria
2omu_A	1	386	P0DJM0	bacteria
2omu_A	43	380	P0DJM0	bacteria
2omu_A	61	377	P0DJM0	bacteria
2omx_A	153	377	A4GWL5	bacteria
2omx_A	29	377	A4GWL5	bacteria
2omx_A	53	388	A4GWL5	bacteria
2omx_A	65	267	A4GWL5	bacteria
2ooq_A	173	275	O14522	human
2ooq_A	45	269	O14522	human
2orv_A	2	73	P04183	human
2ose_A	1	165	Q5UP71	virus
2ose_A	1	196	Q5UP71	virus
2ose_A	165	196	Q5UP71	virus
2ose_A	61	167	Q5UP71	virus
2ovp_B	1	105	Q969H0	human
2ovp_B	1	76	Q969H0	human
2ovp_B	17	222	Q969H0	human
2ovp_B	19	104	Q969H0	human
2ovp_B	19	206	Q969H0	human
2ovp_B	19	266	Q969H0	human
2ovp_B	20	176	Q969H0	human
2ovp_B	20	246	Q969H0	human
2ovp_B	4	124	Q969H0	human
2ovp_B	5	150	Q969H0	human
2ovp_B	6	60	Q969H0	human
2ovr_B	11	148	Q969H0	human
2ovr_B	12	168	Q969H0	human
2ovr_B	12	253	Q969H0	human
2ovr_B	13	119	Q969H0	human
2ovr_B	13	187	Q969H0	human
2ovr_B	16	205	Q969H0	human
2ovr_B	18	237	Q969H0	human
2ovr_B	9	62	Q969H0	human
2owo_A	1	587	P15042	bacteria
2owo_A	19	587	P15042	bacteria
2owo_A	30	392	P15042	bacteria
2owo_A	30	523	P15042	bacteria
2owo_A	61	408	P15042	bacteria
2owo_A	61	431	P15042	bacteria
2owo_A	61	587	P15042	bacteria
2owo_A	8	392	P15042	bacteria
2owo_A	92	391	P15042	bacteria
2oxt_A	1	153	A0EKU1	virus
2oxt_A	1	56	A0EKU1	virus
2oxt_A	56	260	A0EKU1	virus
2p1i_A	1	259	Q7RIF3	invertebrate
2p1i_A	161	259	Q7RIF3	invertebrate
2p1i_A	6	183	Q7RIF3	invertebrate
2p1m_A	4	31	Q39255	plantfungi
2p23_A	1	112	O95750	human
2p23_A	1	133	O95750	human
2p23_A	37	95	O95750	human
2p23_A	58	100	O95750	human
2p23_A	7	91	O95750	human
2p2c_P	10	158	nan	nan
2p2c_P	22	142	nan	nan
2p2c_P	42	159	nan	nan
2p31_A	12	92	Q96SL4	human
2p35_A	1	194	Q8UH15	bacteria
2p35_A	1	246	Q8UH15	bacteria
2p35_A	1	67	Q8UH15	bacteria
2p35_A	1	95	Q8UH15	bacteria
2p35_A	2	124	Q8UH15	bacteria
2p35_A	20	129	Q8UH15	bacteria
2p35_A	27	246	Q8UH15	bacteria
2p39_A	1	114	nan	nan
2p39_A	1	135	nan	nan
2p39_A	51	95	nan	nan
2p40_A	3	238	Q9WLZ5	virus
2p40_A	49	253	Q9WLZ5	virus
2p4o_A	27	223	B2J846	bacteria
2p6p_A	270	382	Q9RPA7	bacteria
2p8e_A	1	279	O75688	human
2p8e_A	18	277	O75688	human
2p8e_A	52	243	O75688	human
2pa8_D	125	264	P95989	bacteria
2pa8_L	4	92	Q980K0	bacteria
2pbl_A	129	228	Q1GDP2	bacteria
2pc5_A	1	128	Q9STG6	plantfungi
2pc5_A	21	111	Q9STG6	plantfungi
2pc5_A	36	128	Q9STG6	plantfungi
2pc5_A	77	128	Q9STG6	plantfungi
2pfb_A	2	127	Q93R11	bacteria
2pgs_A	14	144	Q48JX0	bacteria
2pgs_A	14	163	Q48JX0	bacteria
2pi7_A	187	281	Q98945	nonMammalVertebrate
2pie_A	16	133	nan	nan
2pjh_A	1	77	P60670	nonHumanMammal
2pk3_A	3	74	Q6T1X6	bacteria
2pk9_A	1	140	P17157	plantfungi
2pk9_A	1	216	P17157	plantfungi
2pk9_A	1	272	P17157	plantfungi
2pk9_A	106	196	P17157	plantfungi
2pk9_A	2	196	P17157	plantfungi
2pk9_A	35	181	P17157	plantfungi
2pk9_A	35	198	P17157	plantfungi
2pk9_A	35	243	P17157	plantfungi
2pk9_A	38	284	P17157	plantfungi
2pk9_A	4	237	P17157	plantfungi
2pk9_A	41	227	P17157	plantfungi
2pk9_A	67	279	P17157	plantfungi
2pk9_A	73	182	P17157	plantfungi
2pk9_A	73	202	P17157	plantfungi
2pk9_A	73	227	P17157	plantfungi
2pk9_A	89	208	P17157	plantfungi
2pk9_A	89	228	P17157	plantfungi
2pk9_A	89	279	P17157	plantfungi
2plw_A	1	169	Q8IEL9	invertebrate
2pmz_A	100	405	Q980R2	bacteria
2pmz_A	107	373	Q980R2	bacteria
2pmz_A	108	354	Q980R2	bacteria
2pmz_A	109	239	Q980R2	bacteria
2pmz_A	176	734	Q980R2	bacteria
2pmz_A	207	696	Q980R2	bacteria
2pmz_A	28	734	Q980R2	bacteria
2pmz_A	310	730	Q980R2	bacteria
2pmz_A	82	405	Q980R2	bacteria
2pmz_B	18	374	Q980R1	bacteria
2pmz_B	207	340	Q980R1	bacteria
2pmz_B	217	473	Q980R1	bacteria
2pmz_B	408	470	Q980R1	bacteria
2pmz_B	638	993	Q980R1	bacteria
2pmz_B	775	1004	Q980R1	bacteria
2pmz_B	803	1026	Q980R1	bacteria
2pmz_B	803	994	Q980R1	bacteria
2pmz_B	829	1027	Q980R1	bacteria
2pn7_A	1	115	O75223	human
2pnl_A	1	204	A1XQQ8	virus
2pnl_A	18	200	A1XQQ8	virus
2pnq_A	182	322	O88483	nonHumanMammal
2pnq_A	29	373	O88483	nonHumanMammal
2poc_A	217	340	P53704	plantfungi
2pq5_A	1	170	Q9UII6	human
2pq5_A	28	170	Q9UII6	human
