16vp_A	3	304	P06492	virus
1yqt_A	283	454	Q8U306	bacteria
1ysy_A	2	86	P0C6X7	virus
1yvx_A	1	515	P26660	virus
1yvx_A	1	549	P26660	virus
1yvx_A	116	399	P26660	virus
1yvx_A	280	371	P26660	virus
1yvx_A	515	548	P26660	virus
1z4u_A	2	516	O93077	virus
1z4u_A	2	565	O93077	virus
1z4v_A	1	31	P04850	virus
1z4v_A	1	353	P04850	virus
1z4v_A	1	374	P04850	virus
1z4v_A	1	445	P04850	virus
1z4v_A	27	444	P04850	virus
1z4v_A	32	396	P04850	virus
1z63_A	1	179	Q97XQ7	bacteria
1z63_A	33	135	Q97XQ7	bacteria
1z7s_3	1	194	P22055	virus
1z7s_3	1	240	P22055	virus
1z7s_3	43	233	P22055	virus
1z7s_3	67	228	P22055	virus
1z7s_4	1	69	P22055	virus
1z8r_A	1	151	P08292	virus
1z8r_A	19	150	P08292	virus
1zgk_A	30	184	Q14145	human
1zgk_A	75	128	Q14145	human
1zgk_A	92	231	Q14145	human
1ztm_A	1	417	P06828	virus
1zvu_A	325	539	P0AFI2	bacteria
1zxt_A	1	69	Q76RJ0	virus
1zyz_A	1	734	P21524	plantfungi
1zyz_A	1	751	P21524	plantfungi
1zyz_A	115	750	P21524	plantfungi
1zyz_A	127	686	P21524	plantfungi
1zyz_A	132	705	P21524	plantfungi
1zyz_A	132	725	P21524	plantfungi
1zyz_A	132	741	P21524	plantfungi
1zyz_A	147	617	P21524	plantfungi
1zyz_A	164	636	P21524	plantfungi
1zyz_A	168	676	P21524	plantfungi
1zyz_A	170	612	P21524	plantfungi
1zyz_A	180	730	P21524	plantfungi
1zyz_A	181	748	P21524	plantfungi
1zyz_A	196	723	P21524	plantfungi
1zyz_A	276	580	P21524	plantfungi
1zyz_A	276	624	P21524	plantfungi
1zyz_A	32	752	P21524	plantfungi
1zyz_A	330	630	P21524	plantfungi
1zyz_A	345	553	P21524	plantfungi
1zyz_A	355	695	P21524	plantfungi
1zyz_A	363	600	P21524	plantfungi
1zyz_A	372	618	P21524	plantfungi
1zyz_A	419	633	P21524	plantfungi
1zyz_A	51	738	P21524	plantfungi
1zyz_A	72	748	P21524	plantfungi
1zyz_A	93	738	P21524	plantfungi
2a19_A	2	91	P20459	plantfungi
2a51_A	1	40	Q9Q0A3	virus
2acf_A	138	173	P0C6X7	virus
2acf_A	5	173	P0C6X7	virus
2aep_A	1	389	Q9DL16	virus
2aep_A	35	367	Q9DL16	virus
2ahm_E	1	156	P0C6X7	virus
2ahm_E	1	46	P0C6X7	virus
2ahm_E	1	66	P0C6X7	virus
2ahm_E	66	156	P0C6X7	virus
2aja_A	30	220	Q5ZSV0	bacteria
2alv_A	1	303	P0C6X7	virus
2ax1_B	1	515	P26663	virus
2ax1_B	1	544	P26663	virus
2ax1_B	280	371	P26663	virus
2ax1_B	515	561	P26663	virus
2ayb_A	1	88	Q84294	virus
2azw_A	13	145	Q836H1	bacteria
2azw_A	14	113	Q836H1	bacteria
2azw_A	33	140	Q836H1	bacteria
2azw_A	38	113	Q836H1	bacteria
2b0f_A	1	105	P03303	virus
2b0f_A	1	183	P03303	virus
2b0f_A	105	183	P03303	virus
2b5l_C	1	112	P11207	virus
2b5l_C	1	132	P11207	virus
2b5l_C	1	175	P11207	virus
2b5l_C	1	54	P11207	virus
2b5l_C	112	175	P11207	virus
2b5l_C	40	112	P11207	virus
2b5l_C	40	132	P11207	virus
2b5l_C	40	156	P11207	virus
2b6a_A	1	559	P03366	virus
2b7f_A	1	117	P03362	virus
2b7f_A	28	117	P03362	virus
2b8h_A	1	389	P05803	virus
2b9b_A	1	456	P04849	virus
2b9d_A	2	53	P06465	virus
2b9l_A	141	331	Q9GRW0	invertebrate
2bat_A	1	389	P06820	virus
2bat_A	35	367	P06820	virus
2bbr_A	3	93	Q98325	virus
2bbz_B	1	191	Q98325	virus
2bbz_B	11	169	Q98325	virus
2bbz_B	178	190	Q98325	virus
2bbz_B	85	178	Q98325	virus
2bhg_A	1	195	P03306	virus
2bhg_A	20	193	P03306	virus
2bhg_A	29	173	P03306	virus
2bkg_A	1	109	nan	nan
2bkg_A	19	109	nan	nan
2bll_A	1	238	P77398	bacteria
2bll_A	3	274	P77398	bacteria
2bmf_A	22	255	Q91H74	virus
2bmf_A	3	443	Q91H74	virus
2bop_A	1	84	P03122	virus
2bsy_A	1	250	P03195	virus
2bsy_A	50	210	P03195	virus
2bsy_A	62	244	P03195	virus
2bsy_A	69	222	P03195	virus
2bzu_A	1	160	P16883	virus
2c29_D	1	65	P93799	plantfungi
2c36_A	24	269	P57083	virus
2c36_A	4	274	P57083	virus
2c3a_A	233	253	P57083	virus
2c3a_A	31	254	P57083	virus
2c55_A	1	51	nan	nan
2c6s_A	1	445	P03276	virus
2c6u_A	3	120	Q9P126	human
2c6u_A	3	87	Q9P126	human
2c9f_A	1	441	P03276	virus
2c9n_Y	1	60	P03206	virus
2chq_A	1	60	O28219	bacteria
2cjk_A	8	159	Q99383	plantfungi
2cjq_A	213	356	Q96662	virus
2cjq_A	214	337	Q96662	virus
2cjr_A	1	116	P59595	virus
2ckw_A	1	488	Q69014	virus
2ckw_A	141	412	Q69014	virus
2ckw_A	149	376	Q69014	virus
2ckw_A	150	356	Q69014	virus
2ckw_A	157	415	Q69014	virus
2ckw_A	170	376	Q69014	virus
2ckw_A	18	464	Q69014	virus
2ckw_A	20	488	Q69014	virus
2ckw_A	241	389	Q69014	virus
2ckw_A	298	389	Q69014	virus
2ckw_A	40	409	Q69014	virus
2ckw_A	58	466	Q69014	virus
2ckw_A	58	486	Q69014	virus
2ckw_A	62	328	Q69014	virus
2ckw_A	99	398	Q69014	virus
2cme_B	1	80	Q19QV9	virus
2cxv_A	1	213	P13901	virus
2d8s_A	11	76	nan	nan
2db2_A	8	88	Q7L2E3	human
2dbg_A	13	102	P41218	human
2dfs_A	865	995	Q02440	nonMammalVertebrate
2dho_A	3	175	Q13907	human
2dho_A	34	174	Q13907	human
2dho_A	54	191	Q13907	human
2ds1_A	3	282	P24941	human
2ds1_A	36	281	P24941	human
2dxs_A	1	488	P26663	virus
2dxs_A	15	518	P26663	virus
2dxs_A	94	372	P26663	virus
2dyh_A	130	269	Q9Z2X8	nonHumanMammal
2e2j_A	1321	1395	P04050	plantfungi
2e2j_B	491	1094	P08518	plantfungi
2e2j_B	647	1007	P08518	plantfungi
2e2j_B	702	1035	P08518	plantfungi
2e2j_B	847	1040	P08518	plantfungi
2ec7_A	1	50	nan	nan
2ect_A	8	79	Q91YL2	nonHumanMammal
2edo_A	11	118	P09326	human
2eqo_A	98	141	Q8TDR0	human
2eqx_A	13	100	Q9NVX7	human
2eqx_A	13	79	Q9NVX7	human
2ewl_A	3	56	P21736	virus
2ezo_A	1	124	E7CWP5	virus
2f1s_A	1	87	Q98325	virus
2f55_A	1	433	O92972	virus
2f55_A	11	105	O92972	virus
2f55_A	9	137	O92972	virus
2f57_A	121	232	Q9P286	human
2f5u_A	1	411	P10209	virus
2f5u_A	2	97	P10209	virus
2f5u_A	90	408	P10209	virus
2f8a_A	3	120	P07203	human
2f8a_A	3	186	P07203	human
2f8b_A	5	57	P21736	virus
2f8y_A	117	216	P46531	human
2f8y_A	151	215	P46531	human
2f8y_A	91	182	P46531	human
2fav_A	1	143	Q19QX1	virus
2ffk_A	1	243	O10647	virus
2ffk_A	1	55	O10647	virus
2ffk_A	162	243	O10647	virus
2ffk_A	59	162	O10647	virus
2fml_A	30	223	Q830S2	bacteria
2fml_A	34	207	Q830S2	bacteria
2fml_A	70	222	Q830S2	bacteria
2fp7_A	1	41	nan	nan
2fqm_A	1	66	P04880	virus
2frg_P	14	88	Q86YW5	human
2frg_P	3	106	Q86YW5	human
2fvc_A	1	515	Q99AU2	virus
2fvc_A	1	564	Q99AU2	virus
2fvc_A	119	399	Q99AU2	virus
2fwr_A	68	209	O29889	bacteria
2fwr_A	85	207	O29889	bacteria
2fyq_A	1	171	Q83883	virus
2fyq_A	15	134	Q83883	virus
2g2q_A	1	116	P68460	virus
2g8g_A	1	525	O41855	virus
2ga6_O	1	119	P0C6U8	virus
2gdt_A	2	117	P0C6X7	virus
2gg1_A	1	94	P29837	virus
2gh8_A	1	202	P36285	virus
2gh8_A	1	269	P36285	virus
2gh8_A	1	302	P36285	virus
2gh8_A	1	514	P36285	virus
2gh8_A	1	545	P36285	virus
2gh8_A	25	266	P36285	virus
2gh8_A	25	309	P36285	virus
2gh8_A	36	202	P36285	virus
2gh8_A	57	202	P36285	virus
2giy_A	1	180	Q703E9	virus
2gj7_F	1	172	P04488	virus
2gk6_A	169	592	Q92900	human
2gk6_A	186	572	Q92900	human
2gk6_A	186	593	Q92900	human
2gnn_A	4	88	P52584	virus
2gri_A	1	113	P0C6X7	virus
2gri_A	1	73	P0C6X7	virus
2gri_A	70	113	P0C6X7	virus
2gt8_A	1	299	Q6T1E9	virus
2gth_A	2	349	Q9J3E8	virus
2gth_A	2	70	Q9J3E8	virus
2gth_A	70	349	Q9J3E8	virus
2gti_A	2	70	Q9J3E8	virus
2gtt_A	1	402	P0DOF3	virus
2gu0_A	1	302	Q9PY93	virus
2gv9_A	1	101	P04292	virus
2gv9_A	1	122	P04292	virus
2gv9_A	1	60	P04292	virus
2gv9_A	1	982	P04292	virus
2gv9_A	107	917	P04292	virus
2gv9_A	110	853	P04292	virus
2gv9_A	110	964	P04292	virus
2gv9_A	111	982	P04292	virus
2gv9_A	128	475	P04292	virus
2gv9_A	178	920	P04292	virus
2gv9_A	229	961	P04292	virus
2gv9_A	231	855	P04292	virus
2gv9_A	231	920	P04292	virus
2gv9_A	234	937	P04292	virus
2gv9_A	261	687	P04292	virus
2gv9_A	296	606	P04292	virus
2gv9_A	297	842	P04292	virus
2gv9_A	298	572	P04292	virus
2gv9_A	298	700	P04292	virus
2gv9_A	299	764	P04292	virus
2gv9_A	299	781	P04292	virus
2gv9_A	299	860	P04292	virus
2gv9_A	299	920	P04292	virus
2gv9_A	300	958	P04292	virus
2gv9_A	301	420	P04292	virus
2gv9_A	301	514	P04292	virus
2gv9_A	301	535	P04292	virus
2gv9_A	301	627	P04292	virus
2gv9_A	301	683	P04292	virus
2gv9_A	303	436	P04292	virus
2gv9_A	308	825	P04292	virus
2gv9_A	332	523	P04292	virus
2gv9_A	334	483	P04292	virus
2gv9_A	334	502	P04292	virus
2gv9_A	342	920	P04292	virus
2gv9_A	348	521	P04292	virus
2gv9_A	367	849	P04292	virus
2gv9_A	371	525	P04292	virus
2gv9_A	371	949	P04292	virus
2gv9_A	373	662	P04292	virus
2gv9_A	376	920	P04292	virus
2gv9_A	377	613	P04292	virus
2gv9_A	397	920	P04292	virus
2gv9_A	402	603	P04292	virus
2gv9_A	433	776	P04292	virus
2gv9_A	446	607	P04292	virus
2gv9_A	449	762	P04292	virus
2gv9_A	450	852	P04292	virus
2gv9_A	451	781	P04292	virus
2gv9_A	463	920	P04292	virus
2gv9_A	49	934	P04292	virus
2gv9_A	505	954	P04292	virus
2gv9_A	532	920	P04292	virus
2gv9_A	532	961	P04292	virus
2gv9_A	532	982	P04292	virus
2gv9_A	547	856	P04292	virus
2gv9_A	572	729	P04292	virus
2gv9_A	572	772	P04292	virus
2gv9_A	572	857	P04292	virus
2gv9_A	572	920	P04292	virus
2gv9_A	572	962	P04292	virus
2gv9_A	572	982	P04292	virus
2gv9_A	699	806	P04292	virus
2gv9_A	88	966	P04292	virus
2gv9_A	961	981	P04292	virus
2gxa_A	1	271	P03116	virus
2gxa_A	106	157	P03116	virus
2gxa_A	5	220	P03116	virus
2h1l_A	136	267	P03070	virus
2h1l_A	136	283	P03070	virus
2h1l_A	46	266	P03070	virus
2h6o_A	1	425	Q9QP87	virus
2h6o_A	1	441	Q9QP87	virus
2h6o_A	401	440	Q9QP87	virus
2h7f_X	1	178	P32989	virus
2h7f_X	1	315	P32989	virus
2h7f_X	1	62	P32989	virus
2h7f_X	1	88	P32989	virus
2h7f_X	116	269	P32989	virus
2h7f_X	61	315	P32989	virus
2h7f_X	80	282	P32989	virus
2h7f_X	80	314	P32989	virus
2h7f_X	90	232	P32989	virus
2h85_A	2	348	P0C6X7	virus
2h85_A	2	71	P0C6X7	virus
2hai_A	1	515	Q99AU2	virus
2hai_A	1	563	Q99AU2	virus
2hal_A	2	213	P08617	virus
2hcn_A	154	345	P14335	virus
2hcn_A	18	487	P14335	virus
2hcn_A	79	345	P14335	virus
2hcn_A	99	345	P14335	virus
2hd0_A	1	107	P27958	virus
2hd0_A	1	128	P27958	virus
2hfz_A	1	609	P14335	virus
2hfz_A	154	456	P14335	virus
2hg0_A	1	301	Q91R00	virus
2hg0_A	1	395	Q91R00	virus
2hmg_A	1	329	P03437	virus
2hn8_A	1	39	P0C0U1	virus
2hny_A	1	524	P04585	virus
2hny_B	1	402	P03367	virus
2hrv_A	1	140	P04936	virus
2hu4_D	1	386	Q6DPL2	virus
2hu4_D	33	382	Q6DPL2	virus
2hw0_A	1	100	Q8BB16	virus
2hw0_A	1	116	Q8BB16	virus
2hwb_2	1	223	P03303	virus
2hwb_2	1	256	P03303	virus
2hwb_2	49	256	P03303	virus
2hze_A	4	111	Q8JLF5	virus
2i39_A	3	118	Q49PX0	virus
2i69_A	1	404	Q80QJ9	virus
2i69_A	300	404	Q80QJ9	virus
2i9l_I	29	174	P07612	virus
2iaj_A	1	552	P03366	virus
2ibx_A	1	322	Q45ZQ3	virus
2ic9_A	1	75	Q89462	virus
2id5_A	393	470	Q96FE5	human
2if5_A	1	116	O95365	human
2if6_A	1	137	Q8X778	bacteria
2if6_A	1	161	Q8X778	bacteria
2if6_A	1	183	Q8X778	bacteria
2if6_A	31	129	Q8X778	bacteria
2if7_A	1	189	Q96DU3	human
2ihc_A	5	118	O14867	human
2ijd_1	1	200	Q1PHW8	virus
2ijd_1	1	645	Q1PHW8	virus
2ijd_1	129	603	Q1PHW8	virus
2ijd_1	144	643	Q1PHW8	virus
2ijd_1	167	336	Q1PHW8	virus
2ijd_1	167	361	Q1PHW8	virus
2ijd_1	167	645	Q1PHW8	virus
2ijd_1	184	311	Q1PHW8	virus
2ijd_1	184	336	Q1PHW8	virus
2ijd_1	184	645	Q1PHW8	virus
2ijd_1	200	645	Q1PHW8	virus
2ijd_1	240	625	Q1PHW8	virus
2ijd_1	311	541	Q1PHW8	virus
2ijd_1	311	571	Q1PHW8	virus
2ijd_1	321	588	Q1PHW8	virus
2ijd_1	327	563	Q1PHW8	virus
2ijd_1	350	527	Q1PHW8	virus
2ijd_1	564	645	Q1PHW8	virus
2ijf_A	1	462	Q8QXN9	virus
2ijf_A	17	462	Q8QXN9	virus
2ijo_B	6	169	P06935	virus
2ilk_A	1	155	P22301	human
2ily_A	1	458	Q8QXN9	virus
2ily_A	17	458	Q8QXN9	virus
2ims_A	1	164	Q16611	human
2inu_A	24	268	Q3SAG3	bacteria
2inu_A	44	268	Q3SAG3	bacteria
2inu_A	44	290	Q3SAG3	bacteria
2iny_A	1	942	P42671	virus
2iny_A	12	900	P42671	virus
2iph_A	1	181	Q04544	virus
2iph_A	15	145	Q04544	virus
2iq7_A	9	265	A1E266	plantfungi
2irf_G	1	110	P23906	nonHumanMammal
2it1_A	21	209	O57942	bacteria
2iut_A	136	393	Q9I0M3	bacteria
2iw3_A	696	727	P16521	plantfungi
2j7q_A	1	182	nan	nan
2j7q_A	1	233	nan	nan
2j7q_C	1	159	nan	nan
2j7q_C	1	182	nan	nan
2j7q_C	1	201	nan	nan
2j7q_C	1	232	nan	nan
2j7q_C	178	233	nan	nan
2j7u_A	1	574	Q6YMS4	virus
2j7u_A	139	432	Q6YMS4	virus
2j7u_A	160	432	Q6YMS4	virus
2j87_A	1	159	O57203	virus
2j8x_A	1	231	P12888	virus
2j8x_A	17	231	P12888	virus
2j8x_A	34	231	P12888	virus
2j8x_A	52	200	P12888	virus
2j8x_A	53	218	P12888	virus
2j97_A	1	99	P0C6X1	virus
2jc0_A	1	510	P26663	virus
2jc0_A	1	558	P26663	virus
2jex_A	1	198	P03122	virus
2jjs_C	4	117	Q08722	human
2jle_A	1	546	Q72547	virus
2jle_A	420	545	Q72547	virus
2jle_A	471	545	Q72547	virus
2jlq_A	1	452	Q2YHF0	virus
2jlq_A	159	298	Q2YHF0	virus
2jlq_A	298	452	Q2YHF0	virus
2jlr_A	1	296	Q2YHF0	virus
2jlr_A	1	440	Q2YHF0	virus
2jlr_A	101	239	Q2YHF0	virus
2jlr_A	11	252	Q2YHF0	virus
2jlr_A	4	147	Q2YHF0	virus
2jlr_A	4	176	Q2YHF0	virus
2jlr_A	58	245	Q2YHF0	virus
2jls_A	1	444	Q2YHF0	virus
2jls_A	105	243	Q2YHF0	virus
2jls_A	15	256	Q2YHF0	virus
2jls_A	3	300	Q2YHF0	virus
2jls_A	62	249	Q2YHF0	virus
2jls_A	8	151	Q2YHF0	virus
2jls_A	8	180	Q2YHF0	virus
2jqm_A	9	111	Q6DV88	virus
2jxf_A	1	31	nan	nan
2jys_A	1	92	P23074	virus
2k2u_B	1	36	nan	nan
2k36_A	3	150	P68466	virus
2k36_A	4	77	P68466	virus
2k47_A	1	74	P03520	virus
2k4e_A	1	135	P04584	virus
2k4k_A	2	79	P80870	bacteria
2k87_A	1	117	P0C6X7	virus
2k9h_A	1	58	Q99BV0	virus
2k9h_A	35	58	Q99BV0	virus
2kaf_A	1	68	P0C6U8	virus
2kdr_X	1	29	nan	nan
2khj_A	2	83	P0AG67	bacteria
2kj1_A	1	62	Q9WD75	virus
2kje_B	4	43	nan	nan
2kqv_A	111	129	P0C6U8	virus
2kqv_A	4	111	P0C6U8	virus
2kt5_B	2	41	nan	nan
2kty_A	108	327	Q99986	human
2kty_A	149	263	Q99986	human
2kty_A	152	327	Q99986	human
2kty_A	161	302	Q99986	human
2kty_A	26	211	Q99986	human
2kty_A	26	329	Q99986	human
2kty_A	31	264	Q99986	human
2kty_A	69	327	Q99986	human
2kty_A	92	187	Q99986	human
2kwz_A	1	41	Q9WMX2	virus
2kyy_A	15	100	Q82S36	bacteria
2kzq_A	1	37	Q99IB8	virus
2l0j_A	1	42	P0DOF8	virus
2l0z_A	1	42	P26313	virus
2lif_A	2	28	Q99IB8	virus
2lkt_A	2	126	nan	nan
2lnl_A	1	287	P25024	human
2lnl_A	18	287	P25024	human
2lnl_A	47	285	P25024	human
2lnl_A	65	286	P25024	human
2lnl_A	81	241	P25024	human
2lnl_A	81	289	P25024	human
2lsn_A	3	166	P14350	virus
2lsn_A	54	165	P14350	virus
2lsn_A	70	161	P14350	virus
2lts_A	14	86	G5EBF5	invertebrate
2lvg_A	1	41	nan	nan
2m0a_A	1	115	P0C6V0	virus
2m0s_A	1	29	Q9YKL3	virus
2m1s_A	1	100	O73557	virus
2m3l_A	2	72	P26554	virus
2m4g_A	1	76	Q80J95	virus
2m4h_A	1	68	P27409	virus
2m4h_A	7	44	P27409	virus
2m5t_A	1	143	I2CMJ2	virus
2m5t_A	41	135	I2CMJ2	virus
2m6m_A	12	82	P40318	plantfungi
2m6x_A	2	64	O39928	virus
2m6y_A	15	76	P31689	human
2m7y_A	37	72	nan	nan
2m7y_A	5	72	nan	nan
2m9p_A	78	239	P14337	virus
2m9u_A	6	65	P03355	virus
2mdr_A	10	93	P55265	human
2mev_1	1	116	P12296	virus
2mev_1	1	269	P12296	virus
2mev_1	116	269	P12296	virus
2mev_1	120	253	P12296	virus
2mev_2	1	218	P12296	virus
2mev_2	1	250	P12296	virus
2mev_2	1	37	P12296	virus
2mev_2	18	218	P12296	virus
2mev_2	53	250	P12296	virus
2mev_3	1	191	P12296	virus
2mev_3	1	232	P12296	virus
2mev_3	30	229	P12296	virus
2mev_3	46	232	P12296	virus
2mev_3	63	231	P12296	virus
2mev_3	65	194	P12296	virus
2mev_3	83	178	P12296	virus
2mev_3	83	232	P12296	virus
2mev_4	1	24	nan	nan
2mev_4	1	59	nan	nan
2mhc_A	2	90	O05415	bacteria
2mm4_A	1	59	P59637	virus
2mts_A	1	64	O92972	virus
2mxd_A	4	63	Q9QEJ5	virus
2n00_A	6	96	Q91VJ1	nonHumanMammal
2n28_A	1	82	P69699	virus
2n28_A	22	82	P69699	virus
2n2j_A	5	63	P12978	virus
2n70_A	1	44	P0DOF8	virus
2nb8_A	1	28	nan	nan
2nms_A	3	111	Q8TDQ1	human
2nnu_A	2	202	P03120	virus
2ntc_A	4	128	Q98ZP7	virus
2nug_A	115	217	O67082	bacteria
2nzi_A	6	293	Q8WZ42	human
2o0j_A	101	302	P17312	virus
2o0j_A	105	240	P17312	virus
2o0j_A	105	262	P17312	virus
2o0j_A	132	289	P17312	virus
2o0j_A	152	263	P17312	virus
2o0j_A	152	304	P17312	virus
2o1k_A	1	44	nan	nan
2o1z_A	1	283	A5K1H0	invertebrate
2o1z_A	17	283	A5K1H0	invertebrate
2o8m_A	1	34	P27958	virus
2oa5_A	1	93	P88989	virus
2obe_A	1	40	Q8UY79	virus
2obe_A	1	544	Q8UY79	virus
2obe_A	1	876	Q8UY79	virus
2obe_A	1	916	Q8UY79	virus
2obe_A	40	544	Q8UY79	virus
2obe_A	544	602	Q8UY79	virus
2obe_A	602	825	Q8UY79	virus
2obe_A	825	916	Q8UY79	virus
2obr_A	1	297	Q913Z3	virus
2obr_A	51	297	Q913Z3	virus
2oca_A	1	495	P20703	virus
2oca_A	104	448	P20703	virus
2oca_A	110	263	P20703	virus
2oca_A	128	263	P20703	virus
2oca_A	2	450	P20703	virus
2oca_A	7	433	P20703	virus
2okb_A	21	114	A4GD96	virus
2okd_A	1	125	A4GD96	virus
2okd_A	23	125	A4GD96	virus
2ol1_A	1	104	A4GD96	virus
2ol1_A	19	122	A4GD96	virus
2ol1_A	60	124	A4GD96	virus
2ol3_A	4	119	Q5R1F1	nonHumanMammal
2opr_A	1	540	P04585	virus
2opr_B	1	401	P04585	virus
2oxt_A	56	260	A0EKU1	virus
2oyu_P	2	554	P05979	nonHumanMammal
2oyu_P	59	554	P05979	nonHumanMammal
2ozk_A	1	307	P0C6X7	virus
2ozk_A	1	43	P0C6X7	virus
2ozk_A	42	307	P0C6X7	virus
2p1i_A	17	259	Q7RIF3	invertebrate
2p24_B	114	189	P06344	nonHumanMammal
2p3c_A	1	100	Q6Q004	virus
2p4d_A	1	125	P33064	virus
2p4d_A	1	164	P33064	virus
2p4d_A	30	164	P33064	virus
2p4d_A	68	123	P33064	virus
2p4d_A	70	164	P33064	virus
2p4d_A	78	146	P33064	virus
2pf4_E	1	122	P03081	virus
2pf4_E	1	142	P03081	virus
2pf4_E	1	164	P03081	virus
2pf4_E	1	45	P03081	virus
2pf4_E	1	76	P03081	virus
2pf4_E	1	94	P03081	virus
2pf4_E	76	164	P03081	virus
2pf4_E	92	164	P03081	virus
2pkg_C	1	81	P03081	virus
2plv_1	66	289	P03300	virus
2pmz_B	25	1063	Q980R1	bacteria
2pmz_B	293	1063	Q980R1	bacteria
2pmz_B	436	1021	Q980R1	bacteria
2pmz_B	518	1063	Q980R1	bacteria
2pmz_B	541	1088	Q980R1	bacteria
2pmz_B	638	993	Q980R1	bacteria
2pny_A	23	192	Q9BXS1	human
2ptt_B	19	109	Q07763	nonHumanMammal
2ptt_B	2	109	Q07763	nonHumanMammal
2ptt_B	7	93	Q07763	nonHumanMammal
2pwx_A	1	270	P0C6X7	virus
2px2_A	43	243	P05769	virus
2py2_A	1	128	Q91992	nonMammalVertebrate
2py5_A	109	392	P03680	virus
2py5_A	109	438	P03680	virus
2py5_A	109	456	P03680	virus
2py5_A	112	408	P03680	virus
2py5_A	153	398	P03680	virus
2py5_A	181	398	P03680	virus
2py5_A	35	394	P03680	virus
2py5_A	52	544	P03680	virus
2py5_A	53	398	P03680	virus
2q05_A	13	134	P07239	virus
2q05_A	13	182	P07239	virus
2q05_A	46	182	P07239	virus
2q05_A	82	180	P07239	virus
2q06_A	1	468	Q9PX50	virus
2q0x_A	84	140	Q389W3	invertebrate
2q1w_A	1	59	O87987	bacteria
2q6g_A	1	306	P0C6X7	virus
2q79_A	1	75	P03120	virus
2qby_B	38	270	Q97WM8	bacteria
2qby_B	9	269	Q97WM8	bacteria
2qc2_A	2	306	P0C6X7	virus
2qe2_A	1	477	Q99AU2	virus
2qe2_A	1	506	Q99AU2	virus
2qeq_A	1	265	P14335	virus
2qeq_A	1	416	P14335	virus
2qeq_A	1	98	P14335	virus
2qeq_A	10	62	P14335	virus
2qeq_A	159	266	P14335	virus
2qeq_A	264	416	P14335	virus
2qeq_A	92	298	P14335	virus
2qgz_A	53	123	A0A0H2UTE5	bacteria
2qiq_A	1	302	P0C6X7	virus
2qlk_A	5	184	Q7T925	virus
2qvj_A	1	422	A6H4P1	virus
2r5h_A	2	420	A0A1U9YFU1	virus
2r5i_A	2	424	P06794	virus
2r5j_A	2	418	P27232	virus
2r5k_A	2	420	P04012	virus
2r7o_A	1	103	O37061	virus
2r7o_A	18	1072	O37061	virus
2r7o_A	184	743	O37061	virus
2r7o_A	218	1050	O37061	virus
2r7o_A	343	679	O37061	virus
2r7o_A	500	623	O37061	virus
2r7o_A	500	686	O37061	virus
2r7o_A	679	768	O37061	virus
2r7o_A	767	1072	O37061	virus
2r7o_A	97	692	O37061	virus
2r7q_A	1	103	O37061	virus
2r7q_A	18	1073	O37061	virus
2r7q_A	184	743	O37061	virus
2r7q_A	218	1050	O37061	virus
2r7q_A	343	679	O37061	virus
2r7q_A	500	623	O37061	virus
2r7q_A	500	686	O37061	virus
2r7q_A	679	768	O37061	virus
2r7q_A	767	1073	O37061	virus
2r7q_A	97	692	O37061	virus
2r7r_A	1	101	O37061	virus
2r7r_A	156	331	O37061	virus
2r7r_A	674	1046	O37061	virus
2rau_A	125	180	Q97VU1	bacteria
2rb9_A	64	298	A0A0H3JHA1	bacteria
2rft_A	1	343	P03462	virus
2rh1_A	367	443	P07550	human
2rh8_A	1	65	Q5FB34	plantfungi
2rhb_A	2	346	P0C6X7	virus
2rkc_A	1	400	P08362	virus
2rlf_A	1	39	P0DOF8	virus
2rsv_A	101	209	Q99986	human
2rsv_A	112	333	Q99986	human
2rsv_A	117	212	Q99986	human
2rsv_A	117	261	Q99986	human
2rsv_A	127	309	Q99986	human
2rsv_A	128	279	Q99986	human
2rsv_A	133	208	Q99986	human
2rsv_A	141	333	Q99986	human
2rsv_A	144	242	Q99986	human
2rsv_A	158	271	Q99986	human
2rsv_A	159	298	Q99986	human
2rsv_A	159	332	Q99986	human
2rsv_A	30	270	Q99986	human
2rsv_A	33	207	Q99986	human
2rsv_A	33	224	Q99986	human
2rsv_A	33	245	Q99986	human
2rsv_A	33	293	Q99986	human
2rsv_A	38	347	Q99986	human
2rsv_A	76	212	Q99986	human
2rsv_A	76	280	Q99986	human
2uut_A	1	493	Q69014	virus
2uut_A	20	493	Q69014	virus
2uuw_A	1	491	Q69014	virus
2uuw_A	20	491	Q69014	virus
2uwi_A	1	61	Q8UYL3	virus
2v1x_A	21	357	P46063	human
2v1x_A	239	363	P46063	human
2v1x_A	25	373	P46063	human
2v1x_A	271	361	P46063	human
2v1x_A	5	360	P46063	human
2v1x_A	9	405	P46063	human
2v54_A	1	139	P68693	virus
2v54_A	1	205	P68693	virus
2v54_A	2	172	P68693	virus
2v62_A	119	232	Q86Y07	human
2v62_A	22	232	Q86Y07	human
2v6i_A	134	267	Q32ZD5	virus
2v6i_A	157	268	Q32ZD5	virus
2v6i_A	176	267	Q32ZD5	virus
2v6i_A	86	278	Q32ZD5	virus
2v6j_A	157	267	Q32ZD5	virus
2v6j_A	177	267	Q32ZD5	virus
2v6q_A	1	157	P0C736	virus
2v6q_A	32	157	P0C736	virus
2v8o_A	3	430	P05769	virus
2va8_A	45	270	nan	nan
2vak_A	8	411	Q9E6F8	virus
